U I Ig I' I'g I'' I''g
-13.400000 -2.250077 -2.260660 0.103034 0.104721 0.001824 0.003676
-13.300000 -2.244516 -2.250481 0.106540 0.104911 0.002731 0.003826
-13.200000 -2.236566 -2.239504 0.103224 0.105310 0.004975 0.003897
-13.100000 -2.237958 -2.229802 0.101627 0.105964 0.010011 0.004261
-13.000000 -2.232335 -2.219097 0.103234 0.107178 0.010543 0.004646
-12.900000 -2.209110 -2.209180 0.102635 0.107843 0.001597 0.004961
-12.800000 -2.192722 -2.198403 0.109336 0.107689 0.000483 0.005197
-12.700000 -2.194121 -2.187413 0.111828 0.108132 0.006892 0.005245
-12.600000 -2.174540 -2.176167 0.109197 0.108912 0.006470 0.005297
-12.500000 -2.165469 -2.165480 0.111005 0.109353 0.003234 0.005361
-12.400000 -2.153044 -2.153974 0.112382 0.109691 0.005922 0.005227
-12.300000 -2.149794 -2.143082 0.110624 0.110489 0.006234 0.005075
-12.200000 -2.118029 -2.131840 0.109243 0.110891 0.004281 0.005106
-12.100000 -2.133214 -2.121157 0.109962 0.111473 0.007853 0.005173
-12.000000 -2.111286 -2.109671 0.119018 0.112431 0.009863 0.004790
-11.900000 -2.114230 -2.097680 0.114359 0.113383 0.010001 0.004287
-11.800000 -2.094111 -2.086848 0.107789 0.114337 0.006654 0.004523
-11.700000 -2.074583 -2.075804 0.114531 0.114720 0.003433 0.004789
-11.600000 -2.065447 -2.064004 0.118223 0.115138 0.005184 0.004512
-11.500000 -2.051749 -2.052368 0.113431 0.115671 0.003311 0.004343
-11.400000 -2.030561 -2.041228 0.112293 0.115728 -0.001723 0.004507
-11.300000 -2.021329 -2.029716 0.119779 0.115467 -0.001379 0.004404
-11.200000 -2.008450 -2.017541 0.114999 0.115574 0.003384 0.004219
-11.100000 -2.012220 -2.006601 0.115442 0.116092 0.006379 0.004259
-11.000000 -1.996745 -1.994305 0.121746 0.116666 0.001967 0.004062
-10.900000 -1.980536 -1.982364 0.123229 0.116549 -1.202211E-5 0.003645
-10.800000 -1.981627 -1.969738 0.122665 0.116865 0.006558 0.003290
-10.700000 -1.960796 -1.957935 0.117372 0.117695 0.006068 0.003257
-10.600000 -1.946328 -1.946074 0.120612 0.117965 0.001067 0.003311
-10.500000 -1.930179 -1.933900 0.120395 0.118071 0.002925 0.003195
-10.400000 -1.931541 -1.922195 0.112201 0.118598 0.006675 0.003391
-10.300000 -1.911284 -1.911375 0.106902 0.119250 0.003766 0.004224
-10.200000 -1.894112 -1.900516 0.112865 0.119381 0.002340 0.004988
-10.100000 -1.888290 -1.888751 0.120124 0.119815 0.005126 0.005166
-10.000000 -1.875011 -1.876641 0.122013 0.120310 0.003717 0.005150
-9.900000 -1.860508 -1.864523 0.116551 0.120529 0.001111 0.005514
-9.800000 -1.849089 -1.853105 0.120994 0.120635 0.002533 0.005999
-9.700000 -1.846251 -1.840329 0.125221 0.121084 0.005960 0.005982
-9.600000 -1.825506 -1.828278 0.120212 0.121712 0.004568 0.006097
-9.500000 -1.809795 -1.816170 0.120456 0.121994 0.002742 0.006594
-9.400000 -1.805937 -1.804086 0.124494 0.122434 0.007439 0.006860
-9.300000 -1.803350 -1.791337 0.125971 0.123564 0.015766 0.006904
-9.200000 -1.793283 -1.779008 0.122539 0.125340 0.014668 0.007141
-9.100000 -1.761392 -1.766717 0.124104 0.126325 0.007116 0.007517
-9.000000 -1.757899 -1.754173 0.125842 0.126919 0.006051 0.007848
-8.900000 -1.742273 -1.741580 0.126347 0.127661 0.009598 0.008199
-8.800000 -1.740763 -1.728922 0.125461 0.128768 0.010181 0.008675
-8.700000 -1.713317 -1.716326 0.132094 0.129592 0.006197 0.009055
-8.600000 -1.707731 -1.702695 0.130564 0.130153 0.008487 0.009236
-8.500000 -1.692048 -1.690277 0.126531 0.131308 0.011504 0.009564
-8.400000 -1.676419 -1.677206 0.129623 0.132311 0.008503 0.009966
-8.300000 -1.663812 -1.664248 0.135928 0.133051 0.007609 0.010140
-8.200000 -1.652390 -1.650014 0.144204 0.133891 0.008750 0.009672
-8.100000 -1.635989 -1.635854 0.133543 0.134817 0.010219 0.009318
-8.000000 -1.624874 -1.623097 0.132615 0.135938 0.012095 0.009650
-7.900000 -1.610549 -1.609165 0.137581 0.137166 0.011070 0.009867
-7.800000 -1.594700 -1.595641 0.139795 0.138168 0.011108 0.009807
-7.700000 -1.584565 -1.581304 0.138308 0.139374 0.010518 0.009886
-7.600000 -1.560008 -1.567963 0.137003 0.140273 0.009773 0.010316
-7.500000 -1.564716 -1.553711 0.144467 0.141384 0.011456 0.010531
-7.400000 -1.535308 -1.539303 0.141519 0.142520 0.011169 0.010595
-7.300000 -1.533824 -1.525386 0.140029 0.143604 0.011103 0.011027
-7.200000 -1.504431 -1.511180 0.143614 0.144632 0.005928 0.011424
-7.100000 -1.495924 -1.496758 0.141979 0.144954 0.007252 0.011724
-7.000000 -1.493497 -1.482619 0.147656 0.146211 0.014079 0.012019
-6.900000 -1.465327 -1.467273 0.151619 0.147531 0.010600 0.012110
-6.800000 -1.458270 -1.452485 0.147403 0.148350 0.008336 0.012324
-6.700000 -1.439687 -1.437633 0.150774 0.149345 0.011850 0.012631
-6.600000 -1.433158 -1.422384 0.150985 0.150718 0.015232 0.012939
-6.500000 -1.408445 -1.407393 0.153881 0.152257 0.012989 0.013222
-6.400000 -1.389478 -1.391746 0.150404 0.153366 0.012863 0.013523
-6.300000 -1.384148 -1.377185 0.152373 0.154938 0.017571 0.014109
-6.200000 -1.365489 -1.361206 0.157526 0.156736 0.015936 0.014554
-6.100000 -1.349531 -1.345923 0.150967 0.158132 0.015065 0.015236
-6.000000 -1.339068 -1.330679 0.159934 0.159795 0.016407 0.016043
-5.900000 -1.302606 -1.314126 0.160332 0.161337 0.013998 0.016438
-5.800000 -1.300015 -1.298751 0.154779 0.162687 0.015571 0.017140
-5.700000 -1.282797 -1.282896 0.160686 0.164465 0.017559 0.018077
-5.600000 -1.264344 -1.266580 0.167150 0.166134 0.016982 0.018675
-5.500000 -1.245185 -1.249580 0.169310 0.167848 0.015714 0.019079
-5.400000 -1.236137 -1.232802 0.167760 0.169368 0.017780 0.019664
-5.300000 -1.229521 -1.215842 0.174542 0.171480 0.023471 0.020123
-5.200000 -1.198277 -1.197982 0.177778 0.173862 0.020455 0.020313
-5.100000 -1.183470 -1.180475 0.172942 0.175629 0.020255 0.020880
-5.000000 -1.175809 -1.163198 0.176902 0.178008 0.024193 0.021582
-4.900000 -1.145876 -1.145099 0.180035 0.180348 0.022376 0.022020
-4.800000 -1.142459 -1.127259 0.179959 0.182587 0.025346 0.022571
-4.700000 -1.125324 -1.109004 0.184751 0.185404 0.028013 0.023075
-4.600000 -1.097040 -1.090390 0.185826 0.188038 0.024395 0.023469
-4.500000 -1.076167 -1.071851 0.186964 0.190344 0.023730 0.023949
-4.400000 -1.056092 -1.053026 0.185815 0.192835 0.025267 0.024600
-4.300000 -1.033320 -1.034445 0.194761 0.195303 0.022493 0.025186
-4.200000 -1.009097 -1.014120 0.202377 0.197390 0.021570 0.025274
-4.100000 -0.997831 -0.994320 0.194636 0.199791 0.027850 0.025569
-4.000000 -0.986723 -0.974879 0.200938 0.202854 0.029797 0.026066
-3.900000 -0.958985 -0.954075 0.209075 0.205595 0.025603 0.026136
-3.800000 -0.927968 -0.933282 0.207336 0.208062 0.025568 0.026260
